name,type,city,district,address,phone,latitude,longitude,updated_at
Divine Eye Care Center,Ophthalmology,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900149,23.0456,72.6646,2026-08-10
Maruti Orthopedic Hospital,Orthopedic,Ahmedabad,Ahmedabad,Gangotri Circle Nikol,07922900150,23.0466,72.6658,2026-08-10
Shree Ram General Hospital,General Hospital,Ahmedabad,Ahmedabad,SP Ring Road Nikol,07922900151,23.0502,72.6782,2026-08-10
Urban Health Center Naroda,UPHC,Ahmedabad,Ahmedabad,Naroda Muthiya Road Nikol Extension,07922900152,23.0650,72.6680,2026-08-10
Urban Health Center Odhav,UPHC,Ahmedabad,Ahmedabad,Odhav Gam Nikol Road,07922900153,23.0250,72.6580,2026-08-10
Shubh Skin & Hair Hospital,Dermatology,Ahmedabad,Ahmedabad,Raspan Arcade Nikol,07922900154,23.0473,72.6671,2026-08-10
Shivam Pediatric Hospital,Pediatrics,Ahmedabad,Ahmedabad,Shukan Cross Road Nikol,07922900155,23.0511,72.6694,2026-08-10
Astha Dental & Medical Hospital,Dental & General,Ahmedabad,Ahmedabad,New India Colony Nikol,07922900156,23.0483,72.6683,2026-08-10
BAPS Swaminarayan Health Center,General Hospital,Ahmedabad,Ahmedabad,Nikol Ring Road Nikol,07922900157,23.0498,72.6775,2026-08-10
Pulse Multispecialty Hospital,Multispecialty,Ahmedabad,Ahmedabad,Ankur Chokadi Nikol,07922900158,23.0475,72.6669,2026-08-10
Akshar Surgical Hospital,Surgical,Ahmedabad,Ahmedabad,Pancham Mall Nikol,07922900159,23.0454,72.6644,2026-08-10
Kashiba General Hospital,General Hospital,Ahmedabad,Ahmedabad,Thakkarbapa Nagar Nikol Road,07922900160,23.0538,72.6608,2026-08-10
Shreeji Maternity Hospital,Maternity,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900161,23.0459,72.6649,2026-08-10
Aura Cosmetic Clinic,Dermatology,Ahmedabad,Ahmedabad,Town Plaza Nikol,07922900162,23.0469,72.6662,2026-08-10
Vadhan Diagnostic & Hospital,Diagnostics,Ahmedabad,Ahmedabad,Gangotri Circle Nikol,07922900163,23.0468,72.6659,2026-08-10
Radiance Eye Care Hospital,Ophthalmology,Ahmedabad,Ahmedabad,Nikol Naroda Road Nikol,07922900164,23.0522,72.6703,2026-08-10
Sharda Children Hospital,Pediatrics,Ahmedabad,Ahmedabad,New India Colony Nikol,07922900165,23.0485,72.6685,2026-08-10
Gajanand Hospital,General Hospital,Ahmedabad,Ahmedabad,Raspan Cross Road Nikol,07922900166,23.0478,72.6677,2026-08-10
Heal Well Multispecialty Hospital,Multispecialty,Ahmedabad,Ahmedabad,SP Ring Road Nikol,07922900167,23.0507,72.6790,2026-08-10
Nidan Critical Care Center,ICU,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900168,23.0447,72.6637,2026-08-10
Sarvodya Primary Clinic,Primary Care,Ahmedabad,Ahmedabad,Zeel Residency Opp Beti Bachao Maidan Nikol,07922900169,23.0437,72.6633,2026-08-10
Apple Women's Hospital,Maternity & Gynecology,Ahmedabad,Ahmedabad,Shukan Cross Road Nikol,07922900170,23.0513,72.6696,2026-08-10
Gurukripa Orthopedic Center,Orthopedic,Ahmedabad,Ahmedabad,Ankur Chokadi Nikol,07922900171,23.0473,72.6667,2026-08-10
Satyam Surgical Hospital,Surgical,Ahmedabad,Ahmedabad,Nikol Naroda Road Nikol,07922900172,23.0528,72.6712,2026-08-10
Dhyan Eye Hospital,Ophthalmology,Ahmedabad,Ahmedabad,Pancham Mall Nikol,07922900173,23.0452,72.6643,2026-08-10
Shree Kishna Children Hospital,Pediatrics,Ahmedabad,Ahmedabad,Town Plaza Nikol,07922900174,23.0470,72.6665,2026-08-10
Matru Primary Healthcare,Primary Care,Ahmedabad,Ahmedabad,New India Colony Nikol,07922900175,23.0484,72.6684,2026-08-10
Spine & Joint Hospital Nikol,Orthopedic,Ahmedabad,Ahmedabad,SP Ring Road Nikol,07922900176,23.0504,72.6784,2026-08-10
Metro Multispecialty Hospital,Multispecialty,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900177,23.0464,72.6654,2026-08-10
Life Care ICU & Medical Hospital,ICU & General,Ahmedabad,Ahmedabad,Raspan Circle Nikol,07922900178,23.0476,72.6673,2026-08-10
Aarya ENT Hospital Nikol,ENT,Ahmedabad,Ahmedabad,Gangotri Circle Nikol,07922900179,23.0465,72.6657,2026-08-10
Vedic Healing Center,Ayurvedic,Ahmedabad,Ahmedabad,Nikol Naroda Road Nikol,07922900180,23.0521,72.6702,2026-08-10
Devam Maternity & Surgical Hospital,Maternity & Surgery,Ahmedabad,Ahmedabad,Shukan Cross Road Nikol,07922900181,23.0514,72.6697,2026-08-10
Noble Eye Care Center,Ophthalmology,Ahmedabad,Ahmedabad,Ankur Chokadi Nikol,07922900182,23.0476,72.6670,2026-08-10
Suryam Diagnostic & Health Care,Diagnostics,Ahmedabad,Ahmedabad,New India Colony Nikol,07922900183,23.0486,72.6686,2026-08-10
Parth Hospital Nikol,General Hospital,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900184,23.0446,72.6636,2026-08-10
Unique Children Hospital,Pediatrics,Ahmedabad,Ahmedabad,Town Plaza Nikol,07922900185,23.0471,72.6666,2026-08-10
Shubham Orthopedic Hospital,Orthopedic,Ahmedabad,Ahmedabad,Raspan Circle Nikol,07922900186,23.0479,72.6677,2026-08-10
Aastha Skin & Laser Center,Dermatology,Ahmedabad,Ahmedabad,Pancham Mall Nikol,07922900187,23.0453,72.6644,2026-08-10
Jivraj General Hospital Nikol,General Hospital,Ahmedabad,Ahmedabad,Nikol Naroda Road Nikol,07922900188,23.0526,72.6708,2026-08-10
Om Multispecialty Care,Multispecialty,Ahmedabad,Ahmedabad,SP Ring Road Nikol,07922900189,23.0506,72.6787,2026-08-10
Pratham Critical Care Hospital,ICU,Ahmedabad,Ahmedabad,Shukan Cross Road Nikol,07922900190,23.0510,72.6691,2026-08-10
Tulsi General Hospital,General Hospital,Ahmedabad,Ahmedabad,Gangotri Circle Nikol,07922900191,23.0467,72.6658,2026-08-10
Krupa Women's Hospital,Maternity,Ahmedabad,Ahmedabad,New India Colony Nikol,07922900192,23.0487,72.6687,2026-08-10
Siddheshwar Surgical Hospital,Surgical,Ahmedabad,Ahmedabad,Ankur Chokadi Nikol,07922900193,23.0477,72.6671,2026-08-10
Bhavya Eye Hospital,Ophthalmology,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900194,23.0458,72.6648,2026-08-10
Cure & Care Primary Health Center,UPHC,Ahmedabad,Ahmedabad,Opp Beti Bachao Maidan Nikol Gam,07922900195,23.0436,72.6632,2026-08-10
